lat,lon,velocity_mm_yr,region,infrastruktur_naehe
51.481033,7.913028,-6.5,Ruhrgebiet-Ost,
51.481964,7.936048,-6.1,Ruhrgebiet-Ost,
51.482471,7.912994,-3.8,Ruhrgebiet-Ost,
51.480906,7.689523,-3.9,Ruhrgebiet-Ost,
51.483910,7.912960,-3.7,Ruhrgebiet-Ost,
51.484277,7.953277,-7.4,Ruhrgebiet-Ost,
51.485986,8.070763,-6.4,Ruhrgebiet-Ost,
51.487596,8.092623,-5.6,Ruhrgebiet-Ost,
51.485931,7.824191,4.8,Ruhrgebiet-Ost,
51.488315,8.092609,-4.5,Ruhrgebiet-Ost,
51.489696,7.916279,-4.4,Ruhrgebiet-Ost,
51.487251,7.615596,-5.2,Ruhrgebiet-Ost,
51.491134,7.916245,-3.1,Ruhrgebiet-Ost,
51.491891,8.001502,-7.7,Ruhrgebiet-Ost,
51.492265,8.046436,-11.3,Ruhrgebiet-Ost,
51.492274,8.047588,-8.7,Ruhrgebiet-Ost,
51.492984,8.046421,-16.4,Ruhrgebiet-Ost,
51.493292,7.916194,-7.8,Ruhrgebiet-Ost,
51.496188,7.705220,-4.2,Ruhrgebiet-Ost,
51.499082,7.844598,-6.9,Ruhrgebiet-Ost,
51.499711,7.910279,-3.2,Ruhrgebiet-Ost,
51.500366,7.903348,-3.3,Ruhrgebiet-Ost,
51.500387,7.905652,-4.6,Ruhrgebiet-Ost,
51.498565,7.599117,-3.8,Ruhrgebiet-Ost,
51.500824,7.803060,-9.8,Ruhrgebiet-Ost,
51.500764,7.602508,-3.6,Ruhrgebiet-Ost,
51.505559,8.089961,4.5,Ruhrgebiet-Ost,
51.507236,8.029985,8.5,Ruhrgebiet-Ost,
51.510413,8.066808,3.1,Ruhrgebiet-Ost,
51.510106,7.868529,-3.3,Ruhrgebiet-Ost,
51.511297,7.843136,3.1,Ruhrgebiet-Ost,
51.513341,7.831555,-3.7,Ruhrgebiet-Ost,
51.513890,7.888035,-3.6,Ruhrgebiet-Ost,
51.514129,7.838453,3.5,Ruhrgebiet-Ost,
51.518996,7.686124,-3.5,Ruhrgebiet-Ost,
51.518987,7.622705,-5.0,Ruhrgebiet-Ost,
51.520125,7.597303,-3.9,Ruhrgebiet-Ost,
51.520276,7.609982,4.0,Ruhrgebiet-Ost,
51.522114,7.774827,-19.1,Ruhrgebiet-Ost,
51.525541,7.629427,-3.5,Ruhrgebiet-Ost,
51.528565,7.642023,-19.7,Ruhrgebiet-Ost,
51.528851,7.605108,3.5,Ruhrgebiet-Ost,
51.536867,8.046658,7.3,Ruhrgebiet-Ost,
51.533545,7.637261,5.8,Ruhrgebiet-Ost,
51.537729,7.754798,4.4,Ruhrgebiet-Ost,
51.538189,7.730560,-3.7,Ruhrgebiet-Ost,
51.540520,7.746646,-4.0,Ruhrgebiet-Ost,
51.540309,7.662438,3.1,Ruhrgebiet-Ost,
51.541078,7.731634,5.0,Ruhrgebiet-Ost,
51.541276,7.750086,-4.8,Ruhrgebiet-Ost,
51.542245,7.844659,3.6,Ruhrgebiet-Ost,
51.541621,7.715467,-3.6,Ruhrgebiet-Ost,
51.542175,7.700454,4.0,Ruhrgebiet-Ost,
51.546265,7.888399,3.2,Ruhrgebiet-Ost,
51.548660,7.994491,-4.3,Ruhrgebiet-Ost,
